"position_code","trc_incentive_name","rate","workgroups","trc_incentive_code","effective_date"
"10004470",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10004483",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10004590",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10004602",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004602",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004602",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10004602",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10004682",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004682",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004682",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10004682",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10004688",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10004776",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004776",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004776",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10004776",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10004801",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10004852",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10004895",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10004897",เบี้ยขยันสะสม,0.00,"09WANGRESE_M",TRC_INCENTIVE_0234,2026-01-01
"10004917",เบี้ยขยันสะสม,0.00,"09WANGRESE_M",TRC_INCENTIVE_0234,2026-01-01
"10005693",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10005972",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10006028",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10007965",เบี้ยขยันสะสม,0.00,"01BANNEGPR_M",TRC_INCENTIVE_0233,2026-01-01
"10008081",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10008081",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10008822",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10008824",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10008827",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10009445",เบี้ยขยันสะสม,0.00,"09WANGRESE_M",TRC_INCENTIVE_0234,2026-01-01
"10009600",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10009615",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10009894",ค่าอาหาร,15.00,"02KLANFURT_D",TRC_INCENTIVE_0143,2026-02-01
"10009965",ค่าตำแหน่ง,20.00,"06EAS1FARM_M",TRC_INCENTIVE_0112,2026-03-01
"10010027",ค่ากลุ่มงาน ABCD,34.00,"06RESEFARM_M",TRC_INCENTIVE_0080,2026-01-01
"10010946",เบี้ยขยันสะสม,0.00,"01WANGSAUC_M",TRC_INCENTIVE_0231,2026-01-01
"10019156",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10019157",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10019995",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10023420",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10024330",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10024330",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10024330",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10024330",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10024415",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10024415",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10024415",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10024415",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10024794",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10024794",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10024794",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10024794",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10025200",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10025549",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10025551",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10027573",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10027575",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10027577",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10027578",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10027582",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10027594",เบี้ยขยันสะสม,0.00,"01SARAJERH_M",TRC_INCENTIVE_0232,2026-01-01
"10028463",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10030713",เบี้ยขยันสะสม,0.00,"01BANNEGPR_M",TRC_INCENTIVE_0233,2026-01-01
"10031210",เบี้ยขยันสะสม,0.00,"01WANGSAUC_M",TRC_INCENTIVE_0231,2026-01-01
"10031210",ค่ากลุ่มงาน ABCD,34.00,"01WANGSAUC_M",TRC_INCENTIVE_0201,2026-01-01
"10031687",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10031693",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10031696",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10031706",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10031707",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10031885",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10032506",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10032506",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10032506",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10032506",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10032507",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10032507",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10032507",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10032507",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10032606",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10032635",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10032842",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10034365",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10034413",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10034413",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10034413",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10034413",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10034470",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10034470",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10034470",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10034470",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10034471",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10034471",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10034471",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10034471",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10035533",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10035533",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10035533",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10035533",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10035831",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035832",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035835",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035842",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035844",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035845",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035846",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035847",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035848",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035849",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035850",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035851",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035852",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035854",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035856",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035857",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035858",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035859",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035861",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035964",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035965",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035966",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10035976",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10036004",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10036703",เบี้ยขยันสะสม,0.00,"09WANGRESE_M",TRC_INCENTIVE_0234,2026-01-01
"10037007",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10037457",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10037458",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10037463",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10037472",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10037560",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10037751",เบี้ยขยันสะสม,0.00,"01PAETFOOD_M",TRC_INCENTIVE_0239,2026-01-01
"10037777",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10037777",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10037777",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10037848",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10038047",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10038047",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10038087",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10038087",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10038112",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10038112",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10038112",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10038113",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10038113",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10038113",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10038165",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10050478",เบี้ยขยันสะสม,0.00,"09WANGRESE_M",TRC_INCENTIVE_0234,2026-01-01
"10050738",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10050785",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10051978",เบี้ยขยันสะสม,0.00,"01WANGSAUC_M",TRC_INCENTIVE_0231,2026-01-01
"10051993",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10051994",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10051995",เบี้ยขยันสะสม,0.00,"01WANGSAUC_M",TRC_INCENTIVE_0231,2026-01-01
"10051996",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10051997",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10051998",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10052002",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10052009",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10052015",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
